Datum;Bezeichnung;Betrag;Firma;Land/Stadt/Dorf;Straﬂe
14.Nov;Geldstrafe;40 Ä;Land Kaernten;Biedermannsdorf;Parkstraﬂe 8/10
16.Mai;Lebensmittel;42,45 Ä;Anna Gold Handels GmbH;Wien;Warneckstraﬂe 11
2019;Gewerkschaftsbeitrag;393,60 Ä;AIT;Mˆdling;----
27.Aug;Apotheke/Medizin;6,10 Ä;Hirschen;Klagenfurt;St.Ruprechter Straﬂe 22
07.Aug;Zahlungserinnerung;491,32 Ä;Gemeinn.Wohnbauges.m.b.H.;Biedermannsdorf;Parkstraﬂe 1-6+8
01.Aug;Versicherung;210,98 Ä;Zurich Polizzennachtrag;Handelsgericht Wien;----
30.Jul;Fahrschein;55,80 Ä;OEBB;Klagenfurt;----
30.Jul;Kundenbeleg;120 Ä;Hotel Gabriel;Wien;Hauptstraﬂe 165
16.Aug;Fahrschein;1 Ä;OEBB;Wien;----
16.Aug;Fahrschein;1 Ä;OEBB;Wien;----
31.Jul;Fahrschein;2,40 Ä;OEBB;Wien;----
16.Aug;Fahrschein;30,50 Ä;OEBB;Wien;----
16.Aug;Fahrschein;30,50 Ä;OEBB;Wien;----
15.Aug;Fahrschein;66.30LEI;CFR Calatori;Romaenien;----
15.Aug;Fahrschein;66.30LEI;CFR Calatori;Romaenien;----
15.Aug;Fahrschein;66.30LEI;CFR Calatori;Romaenien;----
15.Aug;Fahrschein;66.30LEI;CFR Calatori;Romaenien;----
14.Aug;Buchung;2580LEI;Neptun Olimp Turism S.R.L.;Romaenien;Strada Trandafirilor
20.Aug;Fahrschein;5 Ä;OEBB;Feldkirchen;----
30.Jul;Parkschein;1 Ä;----;Klagenfurt;----
19.Aug;Autoverkauf;146,93 Ä;Autogl¸ck;Feldkirchen;Bahnhofstraﬂe 41
11.Jul;Gewerkschaftsbeitrag;393,60 Ä;AIT;Mˆdling;----
23.Aug;Parkschein;1 Ä;----;Klagenfurt;----
23.Jul;Grund- und Hausabgaben;158,45 Ä;----;Klagenfurt;----
23.Jun;Reisekostenersatz;168,77 Ä;GPA djp;Wien;----
26.Jun;Parkschein;1 Ä;----;Klagenfurt;----
25.Jun;Parkschein;1 Ä;----;Klagenfurt;----
24.Jun;Parkschein;1 Ä;----;Klagenfurt;----
13.Jul;Medizin/Apotheke;9,90 Ä;SonnenApotheke;Klagenfurt;Pischaldorferstraﬂe 187
17.Jul;Fahrschein;27,90 Ä;OEBB;Wien;----
17.Jul;Fahrschein;27,90 Ä;OEBB;Wien;----
21.Aug;Organstrafverf¸gung;35 Ä;LPDKtn;Klagenfurt;----
10.Jul;Fahrschein;27,90 Ä;OEBB;Wien;----
09.Jul;Fahrschein;27,90 Ä;OEBB;Klagenfurt;----
12.Jun;Parkschein;1 Ä;----;Klagenfurt;----
08.Jul;Fahrschein;27,90 Ä;OEBB;Klagenfurt;----
08.Jul;Fahrschein;27,90 Ä;OEBB;Wien;----
21.Jun;Fahrschein;27,90 Ä;OEBB;Klagenfurt;----
22.Jun;Fahrschein;27,90 Ä;OEBB;Wien;----
19.Mai;Fahrschein;27,90 Ä;OEBB;Wien;----
19.Mai;Fahrschein;2,90 Ä;OEBB;----;----
08.Jun;Rechnung;5,99 Ä;Billa;Klagenfurt;----
13.Jun;Rechnung;24,98 Ä;H&M;Klagenfurt;----
12.Jun;Rechnung;19,99 Ä;Tally Weijl;Klagenfurt;Flatschacherstraﬂe 64
08.Jun;Rechnung;5 Ä;STW AG - Strandbaeder;----;----
06.Jun;Rechnung;7,97 Ä;Billa;Klagenfurt-Viktring;----
08.Jun;Rechnung;2,90 Ä;Metnitzstrand;Klagenfurt;----
28.Mai;Rechnung;5,61 Ä;LIDL;Klagenfurt;Flatschacherstraﬂe 191
29.Mai;Rechnung;9,56 Ä;Billa;Klagenfurt-Viktring;Abstimmungsstraﬂe 41
01.Jun;Rechnung;7,25 Ä;Merkur/Billa+;Klagenfurt;----
01.Jun;Rechnung;2,59 Ä;LIBRO;Klagenfurt;----
27.Mai;Rechnung;6,14 Ä;Hornbach;Klagenfurt;Kirchengasse 50
25.Mai;Rechnung;9,10 Ä;LIBRO;Klagenfurt;----
